,대분류,중분류,소분류,과정명,학습시간,수료여부,frame,prognostics,,
232,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅱ(현장근로자_기타사업),6,FALSE,frame,FALSE,맥북 크롬,O
236,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅰ(현장근로자_제조업),6,FALSE,frame,FALSE,맥북 크롬,O
244,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅰ(현장근로자_유통업),6,FALSE,frame,FALSE,맥북 크롬,
253,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅱ(현장근로자_제조업),6,FALSE,frame,FALSE,맥북 크롬,
254,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅲ(현장근로자_제조업),6,FALSE,frame,FALSE,맥북 크롬,
255,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅳ(현장근로자_제조업),6,FALSE,frame,TRUE,맥북 사파리,O
256,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅱ(현장근로자_건설업),6,FALSE,frame,FALSE,맥북 사파리,ing
257,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅱ(현장근로자_보건업),6,FALSE,frame,FALSE,맥북 사파리,
258,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅱ(현장근로자_서비스업),6,FALSE,frame,FALSE,맥북 사파리,
259,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅱ(현장근로자_유통업),6,FALSE,frame,FALSE,맥북 사파리,
260,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅲ(현장근로자_건설업),6,FALSE,frame,FALSE,데탑 크롬,O
261,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅲ(현장근로자_기타사업),6,FALSE,frame,FALSE,데탑 크롬,ing
262,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅲ(현장근로자_보건업),6,FALSE,frame,FALSE,데탑 크롬,
263,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅲ(현장근로자_서비스업),6,FALSE,frame,FALSE,데탑 크롬,
264,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅲ(현장근로자_유통업),6,FALSE,frame,FALSE,데탑 크롬,
265,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅳ(현장근로자_건설업),6,FALSE,frame,FALSE,데탑 엣지,O
266,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅳ(현장근로자_기타사업),6,FALSE,frame,FALSE,데탑 엣지,ing
267,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅳ(현장근로자_보건업),6,FALSE,frame,FALSE,데탑 엣지,
268,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅳ(현장근로자_서비스업),6,FALSE,frame,FALSE,데탑 엣지,
269,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅳ(현장근로자_유통업),6,FALSE,frame,FALSE,데탑 엣지,
